name,vote,overall,story,cast,music,rewatch
Jeaniessi,116,3,3,8,7,3
JohnGilbert,37,10,9,10,10,10
Rourou,33,8,8,8,8,7
bubblefaerie,14,8,8,8.5,4.5,3.5
SeRose,24,7,6,7,6,7
sky_fever,21,4,3,8,5,4
JCKdorama,33,3,3,3,8,1
mcbrayer77,19,2,2,4,5,1
KiRa,9,5,3,7,6,2
Taylorgg12,11,9,9,9,9,8
dramaqueen4life,14,4,5,5,5,4
Momo-8-,9,3,3,6,4,1
Ari,10,9,10,9,8,9
moganapriya,11,10,9,10,10,10
DramaNoona,7,7,7,7,7,7
cityhunter,16,2,3,6,5,1
eunmia,9,4,3,4,8,4
coming_dreams,7,6,6,7,6,6
Naye,7,4,3,3.5,9,1
mangoman73,7,3,4,2,5,1
dapinaymrs,8,6,5,7,8,3
LMHftw,8,8,8,7,8,9
poloalduchili,8,9,10,10,8,8
pinkduck89,11,3,2,4,5,1
Sylvia,7,1,1,3,5,1
0003423asfsas,3,1,1,1,5.5,1
Gina911,3,1,1,1,3,1
JADE1300,6,1.5,1,2,1,1
Dramagirl4ever,6,9,9,8,9,9
Hira-M,5,8,8,8,7,7
foxx-rain,5,9,7,8,7,9
Ugly Duckling,6,10,10,8.5,10,10
snow_white,6,10,9,10,9,10
darkgarden88,5,10,10,10,10,10
rachso,5,7,10,8,8,5
Saintrat,5,9,6,8,8,10
nikhapi,5,7,10,6,7,8
A7spider,3,2,3,5.5,9,1
maymaymaymay,4,7,8,7,8,6
pjbottomZzz,2,3,3,10,5,1.5
qwertyu,2,2,5,1,4,1
Kat MarieC,2,5,3,9,9,2
sprnaturalcraze,5,2,2.5,2,4,1
2hyun Polaris,7,3,4,5,8,1
manicmuse,3,7,7,8,6,5
Maqluba,3,8,8,9,8,10
cynthia,2,4,3,5,6.5,1
Pincolino,2,8,7,7,7,7
Giz,2,8.5,9,9,5,6.5
ScarletRingo,8,4,3,7,4,1
Christina,4,7,7,6,6,5
BiyaS,3,9,8,10,8,10
kpopx3lover,3,10,10,10,8,9
dramaholic136,3,10,9,10,9,6
Keurinibae,3,10,10,10,10,10
Emmers,3,8,8,9,8,7
shining_stars,6,10,9,10,10,8
kpop0824,6,10,10,10,10,10
Jeana,1,5,4.5,4,3.5,2
Divy,1,9.5,9,9.5,8,9.5
Fiona,1,3.5,2.5,2.5,8,1
Rian,3,8,8,8,7,7
WonByungHoon,3,8,9,8,8,7
cookie72,3,10,10,10,10,10
shianne1,3,10,9,10,8,10
Neko13Momoiro,3,8,8,8,9,7
Vick0019,2,8.5,8.5,8,8.5,10
Tajo Mahcts,1,9.5,9.5,9,8.5,9.5
Aquamaraqua,1,9,9,8.5,9,10
Tamya Maragh,0,3.5,2,4,4,4
Happy101,0,4,3.5,2.5,7,2.5
ErinHudson,0,7,6.5,7,7,5.5
kdramabinger,0,6,6.5,6,8,1
ramsha,0,8.5,10,8,9.5,9
c00kie27,0,8,8,9,10,8
Soula,0,6.5,7.5,7,6,5
Lisa,0,6.5,7.5,7,6,6
itsinesok,0,9,9,9,10,7
Hymavathi01,0,10,9.5,10,10,10
pktljames,0,9,9,9.5,9,9.5
Omegawriter,0,9.5,8.5,9,9.5,10
Nico,0,7.5,7,8,8,7
MAROUZINA,3,10,9,10,9,10
KdramaQueen89,2,8,7,10,8,7
Triple-R-,2,9,9,9,9,9
kawaiipotato_10,1,9,8,9,9,9
Alicja,1,9,10,8.5,8.5,10
coolcancerian,1,9,8,8.5,8,9.5
rinsuzuki,1,7,6,6,7,4
swamilik,2,6,6,5,5,5
Miranda,0,1,1,1,1,1
Yuna67876,0,9,8.5,8,9,8
dramacray,1,7,5,8,5,8
SoniaPratt,0,4,5,2,1,4
