"name","review","vote","overall","story","cast","music","rewatch"
"Jeaniessi","As with Boys Over Flowers, I am almost afraid to review this for fear of flames. I did not like this drama. The reasons?1) I do not like it when a woman blindly and stupidly follows a man that mostly could care less and treats her like crap on a regular basis.2) I do not like it when a teenage girl is portrayed as completely without sense and is kind of a stalker.3) Even worse when she is encouraged by said boy's mother!  The mother helps her stalk her own son! I liked the actress, I did but that's just too much for me to wrap my mind around.Maybe I am too old for this one.  I did not like the message it sends.  I am all for going with a story.  I can forgive a lot because I have a ridiculous romantic side to me but this one left me wanting to yell at that girl and shake her out of her blind stupidity.Here is what I did like: The boy kind of redeems himself toward the end and she wakes up at the last minute...kind of. ..but not enough.","119","3.0","3.0","8.0","7.0","3.0"
"JohnGilbert","READ THIS IF YOU WANT A UNIQUE PERSPECTIVE OF THIS DRAMAI hope some take a moment to read this. I am not the best writer. I haven't wrote a lot of reviews yet, but this one forced my hand. I hope it isn't a waste of your time. Also, I hope you give my perspective some consideration. This is a gem.I have thought many times how I should start this review. However, I do not think I will be emphatic enough of how this Kdrama affected me no matter how much I try.Oh well here we go...Playful Kiss was pure, heartfelt joy for me. I am likely going to come at this in a somewhat unique angle. I have to immediately share that I have read much of the hate or criticisms of this drama...mostly about Oh Ha Ni's 'pathetic' puppy dog love and her incessant pursuit of Baek Seung Jo. Which I will deal with later...but a HUGE 'PFFT' – whatever. I see how it made her look dependent, stalker, etc. They even took exception with the mother encouraging this. It makes me wonder what they were watching, but I have my opinion and as I said, I will cover that later. I DO NOT really want to make this negative. This drama is purely about the positive.A short preamble of sorts. I am relatively new to Kdrama's. I have around 20 under my belt as of writing this review. I think I have a fairly well rounded resume, you can peruse my list if you like, but I have never watched one like 'Playful Kiss'...apparently. Why 'apparently'? It left many of the sinister tropes behind. The overbearing parent, the evil in-law, the person at school or work or wherever that serves as the antagonist. The heal. The 'hated' one or several in some dramas. This was completely devoid of that!!!!!!! It blew me away. It was pure love, warmth, and heart. I do not believe I have watched ANYTHING like this in my life! I am American and our purity on TV left decades ago. The closest we get is shlock filled, syrupy, inane dramas on like ABC Family that are as deep as a puddle and as interesting as insurance forms. This drama had spunk and had loads of REAL laughs. Yes, mostly at the expense of Oh Ha Ni, but in the sweetest way imaginable.I wrote in the forum part for this drama about how it completely compared to 'Bridget Jone's Diary'. I said, how 'Bridget Jone's Diary' would be an adult, 'R' rated version, while this would be the high school, family equivalent. Both had a hapless, hopeless romantic lead protagonist that went to great lengths and often made fools of themselves over a man. 'Bridget Jone's Diary' was a critical darling and 'Playful Kiss' has a descent rating on mydramalist, but way too many high brow people looking down their noses at Oh Ha Ni because she was too vulnerable and too often let a man define her...yada, yada, yada! First question I have, um, Bong Joon Gu was EVERY bit as clingy to Oh Ha Ni. He even continued after she was married. He told her that if Seung Jo is now her house, he would be her 'insurance'. Yes, the writers or director brought in Chris to turn Joon Gu's head at the end, but he was still clinging to Ha Ni. No one mentions him as exhibiting the same behavior. It was her character only. That to me is sexist. Once again you bring undue attention to the female doing something when a male was largely guilty of the same thing. She was every bit his 'knight in shining armour' and Joon Gu said so much! Ha Ni went through growth over the arch of the series just as Bridget did. She at the end was confident that Seung Jo was every bit taken with her as she was of him. She had matured and was working hard.I have a theory as to why there are so many pointing out Ha Ni's supposed 'pathetic-ness'. At least from an American perspective, and likely a European perspective, is cynicism. We have gotten so 'empowered' that any show of selling oneself out for another is a show of weakness. I think a lot more relationships and marriages would go a lot further if BOTH individuals were to give up themselves completely for the other. It isn't PC, especially for a woman, to want to give themselves totally to the other. It's often worded 50/50. That's a hedge. Someone may cry semantics, but each giving 100% of themselves for the other is the way to be. I think that was reached in the end albeit Seung Jo was much more reserved in exhibiting his devotion, but he did. I do wish they had him coming to her defense more and stronger, but alas, they didn't. The beginning was about her devotion and lampooned it as such. It was admitted many times to being one sided, but her perseverance paid off. I just think that too many judged her unfairly. She did nothing sordid. She didn't do anything deserving reproach, she was just wide-eyed and too full of heart.I am not sure I articulated my point well enough the above point, but I will move on.Some complained and some LOVED Kim Hyun Joong. I am betting some of the devotees to Hyun Joong are nearly as starry eyed as Ha Ni because he is handsome. However, he seems to be a one note actor at the moment. I have only seen him in 'Boys Over Flowers' and this. I don't hate him. What the director wants from him, he has down to a science. Hyun Joong's performance was nearly an extension of Yoon Ji Hoo. However, for me, he was not what drove this movie, nor was he what touched my heart so much by this drama. He was merely a pawn. He was Ha Ni's carrot and that is about it. I will say this because of the way he plays his part through out, when his tone does change it hits you! The viewer feels it because most of the series he acts arrogant and is brooding all the time so when he does lower his guard and shows his love for Ha Ni the viewer always feels it. However, once again, the series acknowledges that!! He does. His friends do. His MOTHER does always. Even his little worshiping brother does near the end! They all acknowledge that he has personality issues. So to point it out seems rather silly BECAUSE EVERYONE knows it! LOL! It was his known flaw that would expose other flaws in his seemingly perfect demeanor. Ha Ni wears her flaws on her sleeve. They are there for everyone to see...and every one freely talks about them too.Here's my heart felt feeling in the end, this drama was nothing but love. It permeated the entire series. It's warmth never wavered. I would love to live in a cocoon such as Ha Ni's. In spite her flaws, she brought warmth to everyone she touched and everyone surrounding her brought the love to her too. Her friends, her father, Seung Jo's parents, Joon Gu, her senior homeroom teacher, even Yoon Ha Rae was won over!! Jung So Min was radiant! She played this part as well as you could hope. The way she stumbled. The way she bit her lip. The way she shrunk when she knew she screwed up. I get teary eyed just thinking how special she was in this role...and the hate for her character -UGH! I DO NOT get it. She was a bit naïve sure, but she was so pure in every action how could you not cheer for her. When Seung Jo's mother, Geum Hee, came to her defense and pointed out the heart she brought to their lives it was awe inspiring.I would love to flesh out more about each of these examples in her friends, Seung Jo's family, etc, but I will only touch on them a little. It was ALL of them that lead to my captivation with this series. I could only imagine having friends such as Ha Ni's and that includes Joon Gu. Her father was so gentle and worked so hard and gave his all for his daughter. However, for me the ones that filled my heart most was Seung Jo's parents. Yes, at first the mother, Geum Hee, seemed off. She seemed to have a screw loose and was weird, but that, at least for me, faded quickly. Her character was explained deeper. She became second only Ha Ni as my most beloved, but that only seems right since they were meant to be VERY similar, if not mirrors of one another. Their out pouring of support and uncompromising support for Ha Ni and her dad was profound. It brought buckets of tears from me.Speaking of tears, I sobbed so many times during this series. From tears of joy, to tears of sharing their heartache, but it was always a pure heartache never a malicious heartache. The type that just comes with life. People come and go. We say good bye, and if you have a heart, most good byes are misty eyed. I tell my boys the most painful things in life are good byes.So to maybe conclude, the cynicism this series has garnered from some is truly baffling. It's charming from start to finish. Having a happy ending with everyone finding love is unrealistic. People are right, life is mired in pain, suffering, hatred, bigotry, gossiping, backstabbing, greed, and so many other morose happenings. And thank God above this series doesn't have them. This is bliss start to finish, with just the mild bumps along the way. I'll tell you what, there are plenty of dramas that explore those ugly parts of life. Once in a while, isn't it nice to experience a story where people are good and helpful to each other. Doesn't that sound glorious? We live atrocity, why then would we want to ONLY champion that and watch series about that? Why wouldn't we want to escape for a while in a gentle, sweet world that largely doesn't exist in the real world, but wouldn't it be nice if it did? I'm 44. I had a marriage of 22 years end with lies, a wife committing adultery, a broken family through divorce etc. I'm tired of all that. It was a breath of fresh air to live in this drama for a little while. I ordered it on DVD and bought the soundtrack. Now I will not just seek out dramas like this. I will still watch and love the dramas with all the usually Kdrama tropes and expect story devices, but when life has me shaking my head, I will lose myself in this series for a moment and realize how people should treat each other.","37","10","9.0","10","10","10"
"Rourou","1-The reason I watched this : As a huge fan of Itazura Na kiss I was hunting down all the dramas adaptations, this was the 2nd adaptation after I saw the disappointing J-version.2-Storyline/Plot : This drama cut many events from the manga; there were some changes from the original story but the plot was the same. The foolishness, the childish events, those happy romantic and sometimes sad dramatic moments were present which brought back a lot of memories from one of my favorite stories ever!It was fun to see this adaptation even though I wasn't really dazzled since it lacked many important events.3-Acting/Cast : I like Kim Hyun Joong because he's attractive but let's face it hes not that great as an actor plus his Beak Seung Jo's coldness really was exagerated sometimes yet it reminds me of Naoki's personality in the anime.Although OH Ha Ni was a stupid stalker, I never found her character annoying (Probably because she's much better than Kotoko in the Jversion)The supporting roles were really great especially Baek Seung Jo's mother; her character was really good to watch (a nice change from other evil mothers in Korean dramas) plus Bong Joon Gu and Oh Ha Ni's friends remind me of those from the anime.4-The ending : Well, there is the YouTube Edition so this is not considered as an ""end"".It would have been much bette if they extended it or made a second season because it didn't have much core like the Tw-version.5-My impression: I felt the story of Itazura na kiss all over again and most importantly I was able to gorget about the J-version disappointment. Even though, I wanted it to be a little different but I didn't hate it.6-Overall : If you are Itazura na kiss fan you need to watch this.If you like rom-com then you may like this.If you like seeing cute cast theb you would like this.P.S : The korean version was a medium between the disappointing Japanese version and the marvelous Taiwanese version.","33","8.0","8.0","8.0","8.0","7.0"
"bubblefaerie","I wasn't intending to watch another version of Itazura na Kiss right after finishing one, but Netflix has a limited selection of dramas and this has been in my queue for years. I decided to give it a shot despite generally low reviews... and I liked it.The story is the same as the last version I watched and it didn't really have anything different going on. I did think it was paced well. I liked that we got to see more of high school before they went to college. I also liked that we got to see some of what happened after a lot of romantic comedies end. It was a little rushed at the end but they did cram in what probably would have been the beginning of a second season if they did those.What I didn't like was all the fantasy sequences, especially at the beginning. As it tapered off, the few here and there were more tolerable.I also thought that some of the scenes felt contrived. They just didn't seem to follow a natural progression and it seemed like they said ""We have to get this in here"" and just made a scene to fit the situation without much thought to the flow.I liked Jung So Min as Oh Ha Ni. I think it's almost unfair to talk about how stalkery she was because the story itself depends on her being a stalker. What I did like about her was that, despite the fact that she kept coming back, she had the sense to at least be angry and/or upset by the way Baek Seung Jo treated her.Kim Hyun Joong as Baek Seung Jo wasn't wonderful but he wasn't awful. He was a lot less cold and detached and more deliberately mean. At times he was kind of intolerable and did remind me a little of Lee Shin from Goong (which makes sense seeing they have the same directors) but was not nearly as awful a person. He would do this thing, too, where he walked away and smiled that I thought was cute.I didn't like second lead at all. The relationship between Ha Ni and Bong Joon Gu was almost non-existent until it became necessary for there to be one. It never seemed like Ha Ni considered him a close friend and I didn't feel any chemistry between the actors. There was way more chemistry between him and Ha Ni's friend, especially Joo Ri. And if Ha Ni was stalking Seung Jo, then Joon Gu was a step away from locking her in a basement.I enjoyed a lot of the secondary cast. The mother was really fun to watch. I also liked Kyung Soo.Most of the music didn't register with me. Netflix didn't show the intro so I didn't even hear that song until later. I did like the song from Bye Bye Sea and enjoyed the band playing at the break.I enjoyed Playful Kiss. It's hard not to compare this one with the other I've seen (Love in Tokyo) because there are things I liked better in this one and things I liked better in the other. But in the end, I liked this one just a little bit more because I liked Ha Ni more. The embarrassing moments that Ha Ni had were less ridiculous and I didn't feel the need to turn it off during those times. I don't know that I'd watch it again, but I enjoyed it while I was watching it.And on a side note, I love that they did the bear endings.","14","8.0","8.0","8.5","4.5","3.5"
"SeRose","Funny how there's nothing really special about this, yet it's super cute to watch, even if they main characters have practically no chemistry together. They still make my heart pound in emphathetic angst at least once every episode. A little too long by the end (the second last episode was atrocious!), but overall a fun little watch. Honestly I thought I would hate this, but I found myself enjoying it against my will.","24","7.0","6.0","7.0","6.0","7.0"
"sky_fever","forgive me to those who are fan of the main role,....I was not gonna make a review of this drama now but since i've read other reviews, i just thought of having one........At first, you may seem to like this drama, a kind of man who is so serious, a bit snob and handsome looking. the female lead is so pretty too with a weak character. I liked it till the scenes when the girl wrote to this guy  about her feeling and instead of this guy to like her too, she was just belittled by the guy and it was a shame that everybody in school saw and heard it. that was a great start. I was thinking that the story will turn the other way around  but till the end .....................(WARNING).................................... she never changed! If you were in this situation, what would you be of? if it seems to you that the story is just right, ok watch it, but for those who doesn't want to be someone with no PRIDE at all to yourself, do not watch it, its a waste of time......","21","4.0","3.0","8.0","5.0","4.0"
"JCKdorama","I love dramas, and I know a good one when I see it. This...is a TERRIBLE drama. The acting and story were disappointing. I have seen the Tawainese version and feel in love with it. If you compare the two, it is clear that the Korean version falls short. The characters were not potrayed well at all! The rival guy wasn't even a rival! He was ignored most of the drama! Really the only thing I did like was the music and the woman who played the mother. She was hilarious! I watched the entire thing and it was a waste of my time. I also watched the short episodes at the end, and those were okay. Don't fall for the good looking actors, this is a joke of a drama and falls short at being a good manga adaption.","33","3.0","3.0","3.0","8.0","1.0"
"mcbrayer77","When I saw that Kim Hyun Joong was the lead for this drama I went wild. Even though i wasn't a HUGE fan of Boys Before Flowers i did like it, but I LOVED Hyun Joong as Ji Hoo. so naturally i started watching. I sooo wanted to like this drama, but it was impossible.Most of the blame should go to the writers of this drama, cause the story sucked big time. Hyun Joong did a decent job acting but like i said it was more of the crap role he got landed with instead of his acting ability cause i've seen him in other dramas and he can do much better than this.Oh Ha Ni on the other hand had a horrible script to go by and she also wasn't a very good actress. she wasn't terrible either, like i said the main fault lies with the writers. they made Oh Ha Ni the biggest stalker of all time, even by asian drama standards her character was super creepy and obsessive. And of course you know they're gonna get together in the end, and while in other dramas the annoying girl and the snob guy finally find middle ground and i can understand their relationship. in Playful kiss however i honestly don't understand how Hyun Joong's character falls for Oh Ha Ni...she's a stalker.the over ""cuteness"" of the already predictable story was almost unbearable. there were multiple times when i just wanted to give up and stop watching. the only thing that kept me going was my deep dislike of not finishing dramas, if not for that i would have ditched this drama after the first three episodes.idk maybe im being too harsh, and perhaps one day i'll go back and re-watch it, but for now i can say that this is the worst drama i've ever watched","19","2.0","2.0","4.0","5.0","1.0"
"KiRa","I will probably make some people mad with my review but it needs to be said. I watched this drama because of Kim Hyun Joong and because of positive reviews- this drama seemed to have a following like BOF- but despite Hyun Joong's ability to pull off his aloof character masterfully this drama was frustrating to say the least. I like to yell at characters from time to time (its just part of the experience like watching football- yeah they can't hear you but it makes you fell better) BUT in this drama I just wanted to SLAP Oh Ha Ni (played by Jung So Min). She was just pathetic and submissive and had no substance of her own. I feel like she could have been omitted from the story and it wouldn't have mattered. It was a romance and yet her pathetic nature did not make her enduring like it was intended too, it just made the character pathetic.  Additionally some characters seemed to come and go as the series went on and they added no real substance to the story. To the point where I felt I had missed some important part of the story line. Mom and brother were also irritating at times; I mean really if your mom is that involved then she should have just made him get married right out. Brother was a little annoying only because he was continually rude.I would not suggest this drama to anyone unless they just wanted to watch Hyun Joong be cute.I am sorry to any fans who loved this drama, but I just found so little redeeming about this drama. If I didn't believe in finishing every drama I start this would have been one of the few I dropped.","9","5.0","3.0","7.0","6.0","2.0"
"Taylorgg12","Being a lover of the Itazura Na Kiss anime and manga, I really liked this version of the story. I found the actors brought uniqueness to their characters right down to Baek Seung Jo's coldness to Oh Ha Ni annoying stupidity. They make you fall in love with them over and over again dispite how much you wanna hit them sometimes.I think the only down fall to this drama is their weren't enough moments between the main couple. But maybe that's just my personal wish to see more of Kim Hyun Joong haha.I recommend this drama to anyone.Happy Watching!","11","9.0","9.0","9.0","9.0","8.0"
